Game_ID,Week,Day,Home,Winner,Loser,W_Pts,L_Pts,W_Yards,L_Yards,TOW,TOL
200809040nyg,1,Thu,nyg,nyg,was,16,7,354,209,1,0
200809070nor,1,Sun,nor,nor,tam,24,20,438,352,1,1
200809070buf,1,Sun,buf,buf,sea,34,10,338,252,0,2
200809070phi,1,Sun,phi,phi,ram,38,3,522,166,0,0
200809070mia,1,Sun,mia,nyj,mia,20,14,293,277,1,1
200809070nwe,1,Sun,nwe,nwe,kan,17,10,338,284,2,1
200809070pit,1,Sun,pit,pit,htx,38,17,305,234,1,3
200809070atl,1,Sun,atl,atl,det,34,21,474,316,0,1
200809070oti,1,Sun,oti,oti,jax,17,10,309,189,2,3
200809070rav,1,Sun,rav,rav,cin,17,10,358,154,2,2
200809070sdg,1,Sun,sdg,car,sdg,26,24,388,316,1,1
200809070cle,1,Sun,cle,dal,cle,28,10,487,205,1,0
200809070sfo,1,Sun,sfo,crd,sfo,23,13,285,291,0,5
200809070clt,1,Sun,clt,chi,clt,29,13,319,293,0,1
200809080gnb,1,Mon,gnb,gnb,min,24,19,317,355,0,1
200809080rai,1,Mon,rai,den,rai,41,14,441,307,0,1
200809140kan,2,Sun,kan,rai,kan,23,8,355,190,2,2
200809140ram,2,Sun,ram,nyg,ram,41,13,441,201,0,1
200809140cin,2,Sun,cin,oti,cin,24,7,295,215,1,2
200809140was,2,Sun,was,was,nor,29,24,455,250,1,3
200809140det,2,Sun,det,gnb,det,48,25,447,311,1,3
200809140jax,2,Sun,jax,buf,jax,20,16,285,243,1,2
200809140car,2,Sun,car,car,chi,20,17,216,256,1,2
200809140min,2,Sun,min,clt,min,18,15,321,299,2,1
200809140tam,2,Sun,tam,tam,atl,24,9,311,234,1,2
200809140sea,2,Sun,sea,sfo,sea,33,30,365,351,1,3
200809140crd,2,Sun,crd,crd,mia,31,10,445,236,0,0
200809140den,2,Sun,den,den,sdg,39,38,486,456,1,1
