player_id,player,fant_pts,position,height,weight,rookie,team,opp,home,opp_def_align,after_bye,oline_rush,oline_pass,opp_dline_rush,opp_dline_pass,gametime,gameday,roof,surface,temp,rel_hum,wind,wind_chill,off_pass_rank,off_rush_rank,opp_def_pass_rank,opp_def_rush_rank,rush_att,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,fumbles
ArriJ.00,J.J. Arrington,0.1,RB,69,214,False,crd,sfo,True,3-4,False,30,8,11,26,20:40,Monday,retractable roof (open),grass,,,,,2,32,21,16,1,1,0,0,0,0,0,0
BoldAn00,Anquan Boldin,30.1,WR,73,218,False,crd,sfo,True,3-4,False,30,8,11,26,20:40,Monday,retractable roof (open),grass,,,,,2,32,21,16,3,19,0,11,7,92,2,0
BreaSt00,Steve Breaston,22.4,WR,73,175,False,crd,sfo,True,3-4,False,30,8,11,26,20:40,Monday,retractable roof (open),grass,,,,,2,32,21,16,0,0,0,8,7,124,0,0
FitzLa00,Larry Fitzgerald,18.6,WR,75,225,False,crd,sfo,True,3-4,False,30,8,11,26,20:40,Monday,retractable roof (open),grass,,,,,2,32,21,16,0,0,0,10,8,46,1,0
HighTi00,Tim Hightower,11.0,RB,72,226,True,crd,sfo,True,3-4,False,30,8,11,26,20:40,Monday,retractable roof (open),grass,,,,,2,32,21,16,13,22,0,8,6,28,0,0
JameEd00,Edgerrin James,0.4,RB,72,214,False,crd,sfo,True,3-4,False,30,8,11,26,20:40,Monday,retractable roof (open),grass,,,,,2,32,21,16,2,4,0,0,0,0,0,0
UrbaJe00,Jerheme Urban,7.8,WR,75,212,False,crd,sfo,True,3-4,False,30,8,11,26,20:40,Monday,retractable roof (open),grass,,,,,2,32,21,16,0,0,0,5,4,38,0,0
JenkMi00,Michael Jenkins,13.2,WR,76,217,False,atl,nor,True,4-3,False,9,5,22,25,13:03,Sunday,dome,fieldturf,,,,,14,2,23,22,0,0,0,6,6,72,0,0
PeelJu00,Justin Peelle,2.4,TE,76,255,False,atl,nor,True,4-3,False,9,5,22,25,13:03,Sunday,dome,fieldturf,,,,,14,2,23,22,0,0,0,1,1,14,0,0
TurnMi00,Michael Turner,16.6,RB,70,237,False,atl,nor,True,4-3,False,9,5,22,25,13:03,Sunday,dome,fieldturf,,,,,14,2,23,22,27,96,1,1,1,0,0,0
WhitRo00,Roddy White,18.0,WR,73,201,False,atl,nor,True,4-3,False,9,5,22,25,13:03,Sunday,dome,fieldturf,,,,,14,2,23,22,1,2,0,10,5,68,1,0
ClayMa01,Mark Clayton,7.0,WR,70,193,False,rav,htx,False,4-3,False,16,20,30,23,13:02,Sunday,retractable roof (open),grass,,,,,28,4,25,30,0,0,0,5,3,40,0,0
