game_id,team,opp,player_id,quarter,time,down,togo,location,score,detail,yards,touchdown
200812070crd,crd,ram,WarnKu00,2,2:11,2,12,80,17-7,Kurt Warner pass complete deep middle to Steve Breaston for 58 yards (tackle by Corey Chavous),58,False
200812070crd,crd,ram,BreaSt00,2,2:11,2,12,80,17-7,Kurt Warner pass complete deep middle to Steve Breaston for 58 yards (tackle by Corey Chavous),58,False
200812070crd,crd,ram,ChavCo00,2,2:11,2,12,80,17-7,Kurt Warner pass complete deep middle to Steve Breaston for 58 yards (tackle by Corey Chavous),58,False
200812070crd,crd,ram,rackenei01,2,7:05,4,2,26,17-7,Neil Rackers 44 yard field goal good,44,False
200812070crd,crd,ram,WarnKu00,1,5:57,2,10,87,7-0,Kurt Warner pass complete short left to Anquan Boldin for 36 yards (tackle by Jason Craft),36,False
200812070crd,crd,ram,BoldAn00,1,5:57,2,10,87,7-0,Kurt Warner pass complete short left to Anquan Boldin for 36 yards (tackle by Jason Craft),36,False
200812070crd,crd,ram,CrafJa20,1,5:57,2,10,87,7-0,Kurt Warner pass complete short left to Anquan Boldin for 36 yards (tackle by Jason Craft),36,False
200812070crd,crd,ram,brownjos01,4,,,,30,27-10,"Josh Brown kicks off 67 yards, returned by J.J. Arrington for 26 yards (tackle by Chris Chamberlain)",26,False
200812070crd,crd,ram,ArriJ.00,4,,,,30,27-10,"Josh Brown kicks off 67 yards, returned by J.J. Arrington for 26 yards (tackle by Chris Chamberlain)",26,False
200812070crd,crd,ram,ChamCh99,4,,,,30,27-10,"Josh Brown kicks off 67 yards, returned by J.J. Arrington for 26 yards (tackle by Chris Chamberlain)",26,False
200812070crd,crd,ram,brownjos01,1,,,,30,0-0,"Josh Brown kicks off 70 yards, returned by J.J. Arrington for 24 yards (tackle by Eric Bassey)",24,False
200812070crd,crd,ram,ArriJ.00,1,,,,30,0-0,"Josh Brown kicks off 70 yards, returned by J.J. Arrington for 24 yards (tackle by Eric Bassey)",24,False
200812070crd,crd,ram,BassEr99,1,,,,30,0-0,"Josh Brown kicks off 70 yards, returned by J.J. Arrington for 24 yards (tackle by Eric Bassey)",24,False
200812070crd,crd,ram,WarnKu00,1,14:04,2,10,90,0-0,Kurt Warner pass complete deep middle to Larry Fitzgerald for 23 yards (tackle by Ronald Bartell),23,False
200812070crd,crd,ram,FitzLa00,1,14:04,2,10,90,0-0,Kurt Warner pass complete deep middle to Larry Fitzgerald for 23 yards (tackle by Ronald Bartell),23,False
200812070crd,crd,ram,BartRo20,1,14:04,2,10,90,0-0,Kurt Warner pass complete deep middle to Larry Fitzgerald for 23 yards (tackle by Ronald Bartell),23,False
200812070crd,crd,ram,brownjos01,2,,,,30,14-7,"Josh Brown kicks off 72 yards, returned by J.J. Arrington for 23 yards (tackle by Jason Craft)",23,False
200812070crd,crd,ram,ArriJ.00,2,,,,30,14-7,"Josh Brown kicks off 72 yards, returned by J.J. Arrington for 23 yards (tackle by Jason Craft)",23,False
200812070crd,crd,ram,CrafJa20,2,,,,30,14-7,"Josh Brown kicks off 72 yards, returned by J.J. Arrington for 23 yards (tackle by Jason Craft)",23,False
200812070crd,crd,ram,rackenei01,2,1:03,4,2,4,20-7,Neil Rackers 22 yard field goal good,22,False
200812070crd,crd,ram,ArriJ.00,1,14:55,1,10,74,0-0,J.J. Arrington left end for 16 yards (tackle by Fakhir Brown),16,False
200812070crd,crd,ram,BrowFa20,1,14:55,1,10,74,0-0,J.J. Arrington left end for 16 yards (tackle by Fakhir Brown),16,False
200812070crd,crd,ram,WarnKu00,2,12:39,2,10,81,14-7,Kurt Warner pass complete short right to J.J. Arrington for 15 yards (tackle by Jonathan Wade),15,False
200812070crd,crd,ram,ArriJ.00,2,12:39,2,10,81,14-7,Kurt Warner pass complete short right to J.J. Arrington for 15 yards (tackle by Jonathan Wade),15,False
200812070crd,crd,ram,WadeJo99,2,12:39,2,10,81,14-7,Kurt Warner pass complete short right to J.J. Arrington for 15 yards (tackle by Jonathan Wade),15,False
200812070crd,crd,ram,WarnKu00,1,9:30,1,10,15,0-0,Kurt Warner pass complete short right to Larry Fitzgerald for 14 yards (tackle by Chris Draft),14,False
