team,opp,opp_pts,opp_pass_yards,opp_rush_yards,def_align,after_bye,dline_pass,dline_rush,opp_oline_pass,opp_oline_rush,gametime,gameday,roof,surface,temp,rel_hum,wind,wind_chill,def_pass_rank,def_rush_rank,opp_pass_rank,opp_rush_rank,sacks,forced_fumbles,interceptions,tds,tackles,time_onfield
crd,nwe,47,331,183,4-3,False,24,17,26,3,13:02,Sunday,outdoors,fieldturf,30,100,,21,26,13,12,6,3.0,2,1,0,82,38.583333333333336
atl,min,17,195,155,4-3,False,10,19,28,17,16:15,Sunday,dome,fieldturf,,,,,17,25,25,5,5.0,4,0,1,84,32.916666666666664
rav,dal,24,235,92,3-4,False,15,1,13,18,20:15,Saturday,outdoors,fieldturf,45,45,,0,2,1,9,21,7.0,4,2,0,78,27.5
buf,den,23,351,181,4-3,False,28,8,4,1,16:06,Sunday,outdoors,grass,17,61,,7,22,21,3,12,2.0,2,1,0,88,33.18333333333333
car,nyg,34,158,301,4-3,False,5,24,10,4,20:23,Sunday,outdoors,fieldturf,34,42,,23,8,24,18,1,3.0,0,0,0,97,39.11666666666667
chi,gnb,17,260,65,4-3,False,27,2,14,19,20:40,Monday,outdoors,grass,2,77,,-13,9,5,8,17,3.0,0,3,0,91,35.7
cin,cle,0,41,141,4-3,False,31,12,7,22,13:03,Sunday,outdoors,grass,18,63,,0,19,8,31,26,3.0,1,4,1,94,28.216666666666665
cle,cin,14,55,191,3-4,False,30,31,27,32,13:03,Sunday,outdoors,grass,18,63,,0,16,23,30,29,3.0,1,4,1,94,31.783333333333335
dal,rav,33,123,265,3-4,False,1,14,20,16,20:15,Saturday,outdoors,fieldturf,45,45,,0,11,14,28,4,7.0,4,2,0,78,32.5
den,buf,30,188,87,4-3,False,19,23,25,14,16:06,Sunday,outdoors,grass,17,61,,7,31,29,22,14,2.0,2,1,0,88,26.816666666666666
det,nor,42,351,181,4-3,False,11,29,2,5,13:03,Sunday,dome,fieldturf,,,,,32,31,1,28,2.0,2,2,0,74,34.483333333333334
gnb,chi,20,136,74,4-3,False,21,28,11,24,20:40,Monday,outdoors,grass,2,77,,-13,7,27,21,24,3.0,0,3,0,91,27.833333333333332
htx,rai,27,223,139,4-3,False,23,30,30,25,16:05,Sunday,outdoors,grass,48,80,6,,25,30,32,10,4.0,4,1,0,94,31.483333333333334
clt,jax,24,304,105,4-3,False,22,21,24,12,20:15,Thursday,outdoors,grass,66,84,,0,12,18,15,18,3.0,1,1,1,93,31.883333333333333
jax,clt,31,364,32,4-3,False,14,9,1,23,20:15,Thursday,outdoors,grass,66,84,,0,29,9,5,31,3.0,1,1,1,93,28.116666666666667
kan,mia,38,235,168,4-3,False,32,26,12,11,13:00,Sunday,outdoors,grass,10,45,,-12,28,26,10,11,4.0,2,4,0,88,34.166666666666664
sdg,tam,24,231,111,3-4,False,20,25,18,21,13:02,Sunday,outdoors,grass,72,82,10,,20,20,11,15,3.0,1,2,1,84,29.15
ram,sfo,17,190,83,4-3,False,16,32,31,8,13:00,Sunday,dome,fieldturf,,,,,27,32,13,27,7.0,2,4,0,103,21.366666666666667
mia,kan,31,312,180,3-4,False,13,13,21,28,13:00,Sunday,outdoors,grass,10,45,,-12,15,19,20,16,4.0,2,4,0,88,25.833333333333332
min,atl,24,124,98,4-3,False,2,4,5,9,16:15,Sunday,dome,fieldturf,,,,,5,4,14,2,5.0,4,0,1,84,27.083333333333332
nwe,crd,7,142,44,3-4,False,17,16,8,30,13:02,Sunday,outdoors,fieldturf,30,100,,21,24,11,2,32,3.0,2,1,0,82,21.416666666666668
nor,det,7,126,129,4-3,False,25,22,32,31,13:03,Sunday,dome,fieldturf,,,,,23,22,24,30,2.0,2,2,0,74,25.516666666666666
nyg,car,28,185,158,4-3,False,8,3,9,7,20:23,Sunday,outdoors,fieldturf,34,42,,23,10,12,19,3,3.0,0,0,0,97,25.933333333333334
nyj,sea,13,175,120,3-4,False,12,10,22,27,16:06,Sunday,outdoors,fieldturf,31,60,,22,18,7,29,19,4.0,3,2,0,99,29.6
rai,htx,16,234,90,4-3,False,6,27,16,10,16:05,Sunday,outdoors,grass,48,80,6,,13,28,4,13,4.0,4,1,0,94,28.516666666666666
phi,was,10,127,122,4-3,False,4,5,15,6,16:16,Sunday,outdoors,grass,42,39,17,,3,3,23,8,5.0,2,0,0,92,33.233333333333334
pit,oti,31,205,117,3-4,False,3,7,3,20,13:02,Sunday,outdoors,grass,29,37,,19,1,2,27,7,6.0,5,2,1,97,29.15
sfo,ram,16,214,129,3-4,False,26,11,23,29,13:00,Sunday,dome,fieldturf,,,,,21,16,26,25,7.0,2,4,0,103,38.63333333333333
sea,nyj,3,150,115,4-3,False,18,18,19,2,16:06,Sunday,outdoors,fieldturf,31,60,,22,30,17,16,9,4.0,3,2,0,99,30.4
tam,sdg,41,280,90,4-3,False,7,15,17,15,13:02,Sunday,outdoors,grass,72,82,10,,6,15,7,20,3.0,1,2,1,84,30.85
oti,pit,14,301,73,4-3,False,9,6,29,26,13:02,Sunday,outdoors,grass,29,37,,19,4,6,17,23,6.0,5,2,1,97,30.85
was,phi,3,213,62,4-3,False,29,20,6,13,16:16,Sunday,outdoors,grass,42,39,17,,14,10,6,22,5.0,2,0,0,92,26.766666666666666
